turn,player,budget,action1,action2,action3,action4,action5,action6
1,2,10,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:high,Drain and dredge:low
1,3,10,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:high,Help farmers to buy manure:low
1,4,15,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:low,Help farmers to buy manure:high
1,1,0,Collect frequency:4,Maintenance of water treatment facilities:false,Make farmers participate in building collection pits for pesticide packagings,Help farmers to buy manure:low
2,3,10,Collect frequency:2,Maintenance of water treatment facilities:false,Put part of the fields in fallow,Organise sensibilization events about waste sorting
2,1,0,Collect frequency:2,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting,Help farmers to reduce pesticides use,Help farmers to buy manure:low
2,4,0,Collect frequency:2,Maintenance of water treatment facilities:false,Put part of the fields in fallow,Drain and dredge:high
2,2,10,Collect frequency:2,Maintenance of water treatment facilities:false,Put part of the fields in fallow,Organise sensibilization events about waste sorting
3,4,0,Collect frequency:2,Maintenance of water treatment facilities:false,Trimestrial collective waste collection:high,Help farmers to buy manure:high
3,2,10,Collect frequency:4,Maintenance of water treatment facilities:false,Make farmers participate in building collection pits for pesticide packagings
3,3,5,Collect frequency:2,Maintenance of water treatment facilities:false,Make farmers participate in building collection pits for pesticide packagings,Organise sensibilization events about waste sorting
3,1,5,Collect frequency:4,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting,Trimestrial collective waste collection:high
4,2,0,Collect frequency:4,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting,Drain and dredge:high
4,3,15,Collect frequency:4,Maintenance of water treatment facilities:false,Drain and dredge:high
4,4,10,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:high,Organise sensibilization events about waste sorting
4,1,5,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:low,Drain and dredge:high
5,1,0,Collect frequency:2,Maintenance of water treatment facilities:false,Install water treatment facilities for every home:(P1%60;P2%70;P3%65;P4%45;),Help farmers to buy manure:low
5,4,0,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:low
5,3,0,Collect frequency:2,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting
5,2,0,Collect frequency:2,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting
6,1,15,Collect frequency:4,Maintenance of water treatment facilities:true,Drain and dredge:low
6,4,0,Collect frequency:2,Maintenance of water treatment facilities:true,Make farmers participate in building collection pits for pesticide packagings,Drain and dredge:low
6,2,15,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Drain and dredge:low
6,3,10,Collect frequency:2,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Put part of the fields in fallow
7,2,7,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Trimestrial collective waste collection:low,Drain and dredge:low
7,1,7,Collect frequency:2,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low,Put part of the fields in fallow
7,4,0,Collect frequency:2,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Put part of the fields in fallow
7,3,10,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
8,3,0,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Drain and dredge:low,Organise sensibilization events about waste sorting
8,4,10,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
8,2,0,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Drain and dredge:high
8,1,0,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
