turn,player,budget,action1,action2,action3,action4,action5,action6
1,4,5,Collect frequency:2,Maintenance of water treatment facilities:false,Trimestrial collective waste collection:high,Help farmers to buy manure:high
1,2,0,Collect frequency:2,Maintenance of water treatment facilities:false,Put part of the fields in fallow,Make farmers participate in building collection pits for pesticide packagings
1,3,5,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:low,Drain and dredge:high
1,1,15,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:low,Put part of the fields in fallow
2,3,15,Collect frequency:4,Maintenance of water treatment facilities:false,Drain and dredge:low,Organise sensibilization events about waste sorting
2,2,10,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:high,Drain and dredge:low
2,1,2,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:high,Trimestrial collective waste collection:low
2,4,0,Collect frequency:2,Maintenance of water treatment facilities:false,Put part of the fields in fallow,Drain and dredge:high
3,1,5,Collect frequency:4,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting,Drain and dredge:low
3,4,0,Collect frequency:2,Maintenance of water treatment facilities:false,Trimestrial collective waste collection:high,Help farmers to buy manure:low,Organise sensibilization events about waste sorting
3,3,15,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:low,Trimestrial collective waste collection:high
3,2,2,Collect frequency:2,Maintenance of water treatment facilities:false,Trimestrial collective waste collection:low,Organise sensibilization events about waste sorting,Drain and dredge:low,Help farmers to buy manure:low
4,2,2,Collect frequency:2,Maintenance of water treatment facilities:false,Install water treatment facilities for every home:(P1%50;P2%65;P3%60;P4%65;),Trimestrial collective waste collection:low
4,4,0,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:low
4,1,0,Collect frequency:4,Maintenance of water treatment facilities:false
4,3,15,Collect frequency:2,Maintenance of water treatment facilities:false
5,1,5,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:low,Make farmers participate in building collection pits for pesticide packagings
5,3,0,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:low,Trimestrial collective waste collection:high
5,2,0,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Drain and dredge:low
5,4,0,Collect frequency:2,Maintenance of water treatment facilities:true,Make farmers participate in building collection pits for pesticide packagings,Organise sensibilization events about waste sorting
6,3,0,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to reduce pesticides use,Organise sensibilization events about waste sorting
6,1,17,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low
6,4,0,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:high,Trimestrial collective waste collection:high
6,2,0,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:high,Put part of the fields in fallow
7,4,5,Collect frequency:2,Maintenance of water treatment facilities:false,Trimestrial collective waste collection:high,Help farmers to reduce pesticides use
7,2,10,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
7,1,17,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low
7,3,2,Collect frequency:2,Maintenance of water treatment facilities:true,Make farmers participate in building collection pits for pesticide packagings,Trimestrial collective waste collection:low
8,3,0,Collect frequency:4,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:high
8,1,0,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to reduce pesticides use,Organise sensibilization events about waste sorting
8,2,10,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:high,Trimestrial collective waste collection:high
8,4,0,Collect frequency:2,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:high,Help farmers to buy manure:low
